Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,xG,xGA,SoTA,Saves,Save%,PSxG,PSxG+/-,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,CrsPA,PrgP,KP,pass_3rd,Sw,Crs,TB,CK,SCA,GCA,Tkl,TklW,Tkl_Def_3rd,Tkl_Att_3rd,Blocks,Int,Clr,Err,Touches_Att_3rd,PrgC,Carries_Att_3rd,Mis,Dis,Fls,Off,Recov,Won%
2014-10-12,16:00,Série A,Matchweek 28,Sun,Away,L,0,3,Flamengo,,42171.0,,4-3-2-1,4-2-2-2,Francisco Carlos do Nascimento,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-19,17:30,Série A,Matchweek 29,Sun,Away,W,1,0,Vitória,,18366.0,,4-2-3-1,4-3-2-1,Raphael Claus,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-22,19:30,Série A,Matchweek 30,Wed,Home,D,1,1,Palmeiras,,26944.0,,4-2-3-1,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-25,16:20,Série A,Matchweek 31,Sat,Away,D,1,1,Figueirense,,7843.0,,4-2-3-1,4-4-2,Pablo Dos Santos Alves,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-02,17:00,Série A,Matchweek 32,Sun,Home,W,2,1,Botafogo (RJ),,36004.0,,4-2-2-2,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-09,19:30,Série A,Matchweek 33,Sun,Home,W,3,1,Criciúma,,28475.0,,4-2-3-1,4-4-1-1,Marcos Andre Gomes da Penha,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-16,17:00,Série A,Matchweek 34,Sun,Away,W,1,0,Santos,,4094.0,,4-2-3-1,4-2-3-1,Alinor Silva da Paixao,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-20,21:50,Série A,Matchweek 35,Thu,Away,W,2,1,Grêmio,,40497.0,,4-2-3-1,4-1-4-1,Vinicius Furlan,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-23,17:00,Série A,Matchweek 36,Sun,Home,W,2,1,Goiás,,56769.0,,4-2-3-1,4-1-2-1-2,Paulo Henrique De Godoy Bezerra,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-30,17:00,Série A,Matchweek 37,Sun,Away,D,1,1,Chapecoense,,8067.0,,4-3-2-1,4-2-3-1,Grazianni Maciel Rocha,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-07,17:00,Série A,Matchweek 38,Sun,Home,W,2,1,Fluminense,,45804.0,,4-2-3-1,4-2-2-2,Raphael Claus,Match Report,,2014,brasileirao,24,2014 Cruzeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-20,16:00,Série A,Matchweek 1,Sun,Home,W,3,0,Botafogo (RJ),,31564.0,,4-2-3-1,4-4-2,Wilton Sampaio,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-27,16:00,Série A,Matchweek 2,Sun,Away,D,1,1,Cruzeiro,,17530.0,,4-2-2-2,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-03,18:30,Série A,Matchweek 3,Sat,Home,D,2,2,Coritiba,,31888.0,,4-2-2-2,4-2-3-1,Claudio Francisco Lima e Silva,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-11,16:00,Série A,Matchweek 4,Sun,Home,D,1,1,Corinthians,,14000.0,,4-2-3-1,4-2-2-2,Raphael Claus,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-18,16:00,Série A,Matchweek 5,Sun,Away,W,2,0,Flamengo,,25118.0,,4-2-3-1,4-2-2-2,Ricardo Marques Ribeiro,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-21,22:00,Série A,Matchweek 6,Wed,Away,L,2,5,Fluminense,,17035.0,,4-2-3-1,4-2-2-2,Paulo Henrique De Godoy Bezerra,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-24,21:00,Série A,Matchweek 7,Sat,Home,W,1,0,Grêmio,,14971.0,,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-28,22:00,Série A,Matchweek 8,Wed,Away,D,2,2,Ath Paranaense,,2817.0,,4-2-3-1,4-2-2-2,Anderson Daronco,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-31,18:30,Série A,Matchweek 9,Sat,Home,W,2,1,Atlético Mineiro,,27530.0,,4-2-3-1,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-16,22:00,Série A,Matchweek 10,Wed,Away,W,2,0,Bahia,,17482.0,,4-2-3-1,4-3-3,Dewson Fernando Freitas da Silva,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-19,18:30,Série A,Matchweek 11,Sat,Home,L,0,1,Chapecoense,,42979.0,,4-2-3-1,4-4-2,Felipe Gomes da Silva,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-27,16:00,Série A,Matchweek 12,Sun,Away,L,1,2,Goiás,,12845.0,,4-2-3-1,4-1-2-1-2,Leandro Pedro Vuaden,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-02,18:30,Série A,Matchweek 13,Sat,Home,D,1,1,Criciúma,,46512.0,,4-1-2-1-2◆,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-10,18:30,Série A,Matchweek 14,Sun,Home,W,3,1,Vitória,,29115.0,,4-2-2-2,4-2-3-1,André Luiz de Freitas Castro,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-17,16:00,Série A,Matchweek 15,Sun,Away,W,2,1,Palmeiras,,20267.0,,4-2-2-2,4-2-3-1,Péricles Bassols Pegado Cortez,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-20,22:00,Série A,Matchweek 16,Wed,Away,W,1,0,Internacional,,29267.0,,4-2-2-2,4-3-2-1,Grazianni Maciel Rocha,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-24,16:00,Série A,Matchweek 17,Sun,Home,W,2,1,Santos,,31159.0,,4-4-2,4-2-3-1,Vinicius Furlan,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,20:00,Sudamericana,Second stage,Thu,Away,L,1,2,br Criciúma,,,,,,Julio Bascuñán,Match Report,Leg 1 of 2,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,16:00,Série A,Matchweek 18,Sun,Away,D,1,1,Figueirense,,15803.0,,4-2-2-2,4-1-2-1-2,Wilton Sampaio,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-04,20:00,Sudamericana,Second stage,Thu,Home,W,2,0,br Criciúma,,,,,,Ricardo Marques Ribeiro,Match Report,Leg 2 of 2; São Paulo won,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-07,16:00,Série A,Matchweek 19,Sun,Home,W,2,0,Sport Recife,,25072.0,,4-2-2-2,4-2-3-1,Braulio da Silva Machado,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-10,22:00,Série A,Matchweek 20,Wed,Away,W,4,2,Botafogo (RJ),,24857.0,,4-2-3-1,4-2-2-2,Marielson Alves Silva,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-14,16:00,Série A,Matchweek 21,Sun,Home,W,2,0,Cruzeiro,,58627.0,,4-2-2-2,4-2-3-1,Leandro Pedro Vuaden,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-17,22:00,Série A,Matchweek 22,Wed,Away,L,1,3,Coritiba,,16201.0,,4-4-2,4-3-2-1,Dewson Fernando Freitas da Silva,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-21,16:00,Série A,Matchweek 23,Sun,Away,L,2,3,Corinthians,,34688.0,,4-2-2-2,4-2-2-2,Luiz Flávio de Oliveira,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-24,22:00,Série A,Matchweek 24,Wed,Home,D,2,2,Flamengo,,16571.0,,4-2-2-2,4-3-2-1,André Luiz de Freitas Castro,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-27,21:00,Série A,Matchweek 25,Sat,Home,L,1,3,Fluminense,,16076.0,,4-2-2-2,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,20:30,Sudamericana,Round of 16,Tue,Home,W,1,0,cl Huachipato,,,,,,Christian Ferreyra,Match Report,Leg 1 of 2,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-04,16:20,Série A,Matchweek 26,Sat,Away,W,1,0,Grêmio,,43653.0,,4-2-2-2,4-3-3,Felipe Gomes da Silva,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-08,19:30,Série A,Matchweek 27,Wed,Home,W,1,0,Ath Paranaense,,9795.0,,4-2-2-2,4-2-3-1,Jailson Macêdo Freitas,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-12,16:00,Série A,Matchweek 28,Sun,Away,L,0,1,Atlético Mineiro,,15288.0,,4-2-2-2,4-2-3-1,Marielson Alves Silva,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-15,19:30,Sudamericana,Round of 16,Wed,Away,W,3,2,cl Huachipato,,,,,,Antonio Arias,Match Report,Leg 2 of 2; São Paulo won,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-18,18:30,Série A,Matchweek 29,Sat,Home,W,2,1,Bahia,,21961.0,,4-2-3-1,4-4-1-1,Marcelo de Lima Henrique,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-22,22:00,Série A,Matchweek 30,Wed,Away,D,0,0,Chapecoense,,15095.0,,4-2-2-2,4-3-2-1,Wagner do Nascimento Magalhaes,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-27,20:30,Série A,Matchweek 31,Mon,Home,W,3,0,Goiás,,31907.0,,4-2-2-2,4-2-3-1,Braulio da Silva Machado,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-30,20:15,Sudamericana,Quarter-finals,Thu,Home,W,4,2,ec CS Emelec,,,,,,Enrique Cáceres,Match Report,Leg 1 of 2,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-02,17:00,Série A,Matchweek 32,Sun,Away,W,2,1,Criciúma,,12388.0,,4-2-2-2,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-05,19:00,Sudamericana,Quarter-finals,Wed,Away,L,2,3,ec CS Emelec,,,,,,Enrique Osses,Match Report,Leg 2 of 2; São Paulo won,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-09,16:00,Série A,Matchweek 33,Sun,Away,W,2,1,Vitória,,18035.0,,4-2-3-1,4-3-3,Wilton Sampaio,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,22:00,Série A,Matchweek 35,Wed,Home,D,1,1,Internacional,,22504.0,,4-2-2-2,3-4-3,Heber Roberto Lopes,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-16,19:30,Série A,Matchweek 34,Sun,Home,W,2,0,Palmeiras,,36764.0,,4-2-2-2,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-19,19:00,Sudamericana,Semi-finals,Wed,Away,L,0,1,co Nacional,,,,,,Daniel Fedorczuk,Match Report,Leg 1 of 2,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-23,16:00,Série A,Matchweek 36,Sun,Away,W,1,0,Santos,,33247.0,,4-2-3-1,4-3-2-1,Flavio Rodrigues Guerra,Match Report,,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-26,22:00,Sudamericana,Semi-finals,Wed,Home,W,1 (1),0 (4),co Nacional,,,,,,Roddy Zambrano,Match Report,Leg 2 of 2; Nacional won; Nacional won on penalty kicks following extra time,2014,brasileirao,24,2014 São Paulo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
